Step,Site,State
0,Histone_1,U
0,Histone_10,U
0,Histone_2,U
0,Histone_3,U
0,Histone_4,U
0,Histone_5,U
0,Histone_6,U
0,Histone_7,U
0,Histone_8,U
0,Histone_9,U
1,Histone_1,U
1,Histone_10,U
1,Histone_2,U
1,Histone_3,U
1,Histone_4,U
1,Histone_5,U
1,Histone_6,U
1,Histone_7,U
1,Histone_8,M
1,Histone_9,U
2,Histone_1,U
2,Histone_10,U
2,Histone_2,U
2,Histone_3,U
2,Histone_4,U
2,Histone_5,U
2,Histone_6,U
2,Histone_7,M
2,Histone_8,M
2,Histone_9,U
3,Histone_1,U
3,Histone_10,U
3,Histone_2,U
3,Histone_3,U
3,Histone_4,U
3,Histone_5,U
3,Histone_6,M
3,Histone_7,M
3,Histone_8,M
3,Histone_9,M
4,Histone_1,U
4,Histone_10,U
4,Histone_2,U
4,Histone_3,U
4,Histone_4,M
4,Histone_5,M
4,Histone_6,M
4,Histone_7,M
4,Histone_8,M
4,Histone_9,U
5,Histone_1,U
5,Histone_10,U
5,Histone_2,U
5,Histone_3,M
5,Histone_4,M
5,Histone_5,M
5,Histone_6,M
5,Histone_7,M
5,Histone_8,M
5,Histone_9,U
6,Histone_1,U
6,Histone_10,U
6,Histone_2,M
6,Histone_3,M
6,Histone_4,M
6,Histone_5,M
6,Histone_6,M
6,Histone_7,M
6,Histone_8,M
6,Histone_9,U
7,Histone_1,U
7,Histone_10,M
7,Histone_2,M
7,Histone_3,M
7,Histone_4,M
7,Histone_5,M
7,Histone_6,M
7,Histone_7,M
7,Histone_8,M
7,Histone_9,U
8,Histone_1,M
8,Histone_10,M
8,Histone_2,M
8,Histone_3,M
8,Histone_4,M
8,Histone_5,M
8,Histone_6,M
8,Histone_7,M
8,Histone_8,M
8,Histone_9,U
9,Histone_1,M
9,Histone_10,M
9,Histone_2,M
9,Histone_3,M
9,Histone_4,M
9,Histone_5,M
9,Histone_6,M
9,Histone_7,M
9,Histone_8,M
9,Histone_9,U
10,Histone_1,M
10,Histone_10,M
10,Histone_2,M
10,Histone_3,M
10,Histone_4,M
10,Histone_5,M
10,Histone_6,M
10,Histone_7,M
10,Histone_8,M
10,Histone_9,U
11,Histone_1,M
11,Histone_10,M
11,Histone_2,M
11,Histone_3,M
11,Histone_4,M
11,Histone_5,M
11,Histone_6,U
11,Histone_7,M
11,Histone_8,M
11,Histone_9,U
12,Histone_1,M
12,Histone_10,M
12,Histone_2,M
12,Histone_3,M
12,Histone_4,M
12,Histone_5,M
12,Histone_6,M
12,Histone_7,M
12,Histone_8,U
12,Histone_9,M
13,Histone_1,M
13,Histone_10,M
13,Histone_2,M
13,Histone_3,M
13,Histone_4,M
13,Histone_5,M
13,Histone_6,M
13,Histone_7,M
13,Histone_8,M
13,Histone_9,M
14,Histone_1,M
14,Histone_10,M
14,Histone_2,M
14,Histone_3,M
14,Histone_4,M
14,Histone_5,M
14,Histone_6,M
14,Histone_7,M
14,Histone_8,M
14,Histone_9,M
