Step,Site,State
0,Histone_1,U
0,Histone_10,U
0,Histone_2,U
0,Histone_3,U
0,Histone_4,U
0,Histone_5,U
0,Histone_6,U
0,Histone_7,U
0,Histone_8,U
0,Histone_9,U
1,Histone_1,U
1,Histone_10,U
1,Histone_2,P
1,Histone_3,M
1,Histone_4,U
1,Histone_5,U
1,Histone_6,U
1,Histone_7,U
1,Histone_8,P
1,Histone_9,U
2,Histone_1,P
2,Histone_10,C
2,Histone_2,P
2,Histone_3,M
2,Histone_4,U
2,Histone_5,M
2,Histone_6,A
2,Histone_7,U
2,Histone_8,P
2,Histone_9,U
3,Histone_1,P
3,Histone_10,C
3,Histone_2,P
3,Histone_3,M
3,Histone_4,P
3,Histone_5,M
3,Histone_6,P
3,Histone_7,M
3,Histone_8,P
3,Histone_9,P
4,Histone_1,P
4,Histone_10,C
4,Histone_2,P
4,Histone_3,M
4,Histone_4,P
4,Histone_5,M
4,Histone_6,P
4,Histone_7,M
4,Histone_8,P
4,Histone_9,P
5,Histone_1,P
5,Histone_10,C
5,Histone_2,P
5,Histone_3,M
5,Histone_4,P
5,Histone_5,M
5,Histone_6,U
5,Histone_7,M
5,Histone_8,P
5,Histone_9,P
6,Histone_1,P
6,Histone_10,C
6,Histone_2,P
6,Histone_3,M
6,Histone_4,P
6,Histone_5,M
6,Histone_6,C
6,Histone_7,M
6,Histone_8,P
6,Histone_9,P
7,Histone_1,P
7,Histone_10,C
7,Histone_2,P
7,Histone_3,M
7,Histone_4,U
7,Histone_5,M
7,Histone_6,C
7,Histone_7,M
7,Histone_8,P
7,Histone_9,U
8,Histone_1,P
8,Histone_10,C
8,Histone_2,P
8,Histone_3,U
8,Histone_4,P
8,Histone_5,M
8,Histone_6,C
8,Histone_7,M
8,Histone_8,P
8,Histone_9,U
9,Histone_1,P
9,Histone_10,U
9,Histone_2,P
9,Histone_3,C
9,Histone_4,P
9,Histone_5,M
9,Histone_6,C
9,Histone_7,M
9,Histone_8,P
9,Histone_9,M
10,Histone_1,P
10,Histone_10,U
10,Histone_2,P
10,Histone_3,C
10,Histone_4,P
10,Histone_5,M
10,Histone_6,C
10,Histone_7,M
10,Histone_8,P
10,Histone_9,M
11,Histone_1,P
11,Histone_10,U
11,Histone_2,P
11,Histone_3,C
11,Histone_4,P
11,Histone_5,M
11,Histone_6,C
11,Histone_7,M
11,Histone_8,P
11,Histone_9,M
12,Histone_1,P
12,Histone_10,A
12,Histone_2,P
12,Histone_3,C
12,Histone_4,P
12,Histone_5,M
12,Histone_6,C
12,Histone_7,M
12,Histone_8,P
12,Histone_9,M
13,Histone_1,P
13,Histone_10,P
13,Histone_2,P
13,Histone_3,C
13,Histone_4,U
13,Histone_5,U
13,Histone_6,C
13,Histone_7,M
13,Histone_8,U
13,Histone_9,M
14,Histone_1,P
14,Histone_10,P
14,Histone_2,P
14,Histone_3,C
14,Histone_4,P
14,Histone_5,P
14,Histone_6,C
14,Histone_7,M
14,Histone_8,U
14,Histone_9,M
